SKU,SAP PRODUCT DESC EN,SAP PRODUCT DESC FR,SKU STATUS,CATEGORY,SUB CATEGORY,CLASS,BRAND,DEVICE OEM,DEVICE,COLOUR,VENDOR,PART NUMBER,UPC,CURRENCY,ORIGINAL MSRP,CURRENT MSRP
NCSDAUD1059,BEATS STUDIO 2 RED DISPLAY,BEATS STUDIO 2 ROUGE DISPLAY,ND,04 - Audio,BT Over-Ear Headphone,Premium,Beats,Universal,Universal,Red,APPLE CANADA,670-00052-00,,CAD,$0.00,$0.00
NCSDAUD1062,BEATS POWERBEATS WIRELESS BLACK DEMO,BEATS POWERBEATS SANS FILS NOIR DEMO,ND,04 - Audio,BT In-Ear Headphone,Mid-tier,Beats,Universal,Universal,Black,APPLE CANADA,MHBE2AM/A,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1071,JBL SYNCHROS ON EAR WHP E30 WHITE,JBL SYNCHROS ON EAR WHP E30 BLANC,ND,04 - Audio,BT On-Ear Headphone,Mid-tier,JBL,Universal,Universal,White,JAM INDUSTRIES LTD,E30WHT,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1080,LG TONE PRO BT HEADSET WHITE DEMO,LG TONE PRO BT HEADSET BLANC DEMO,ND,04 - Audio,BT In-Ear Headphone,Entry Level,LG,Universal,Universal,White,LG ELECTRONICS CANADA INC,HBS-750.ACCAWH,6.29018E+11,CAD,$79.99,$79.99
NCSDAUD1088,HAPPY PLUGS EARBUD COBALT BLUE DEMO,HAPPY PLUGS ÉCOUTEURS BLEU COBALT DEMO,ND,04 - Audio,Wired Headphone,In-Ear,Happy Plugs,Universal,Universal,Blue,HAPPY PLUGS INC,7913,6.29018E+11,USD,$0.00,$0.00
NCSDAUD1090,HAPPY PLUGS EARBUD TURQUOISE DEMO,HAPPY PLUGS ÉCOUTEURS TOUQUOISE DEMO,ND,04 - Audio,Wired Headphone,In-Ear,Happy Plugs,Universal,Universal,Turquoise,HAPPY PLUGS INC,7907,6.29018E+11,USD,$0.00,$0.00
NCSDAUD1096,HAPPY PLUGS EARBUD CERISE WITH MIC DEMO,HAPPY PLUGS ÉCOUTEURS AVEC MICRO CERIS DEMO,ND,04 - Audio,Wired Headphone,In-Ear,Happy Plugs,Universal,Universal,,HAPPY PLUGS INC,7909,6.29018E+11,USD,$0.00,$0.00
NCSDAUD1099,LG TONE ULTRA BLACK BLUETOOTH DEMO,LG TONE ULTRA NOIR BLUETOOTH DEMO,ND,04 - Audio,Wired Headphone,In-Ear,LG,Universal,Universal,Black,LG ELECTRONICS CANADA INC,HBS-800.ACCABK,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1100,LG TONE ULTRA WHITE BLUETOOTH DEMO,LG TONE ULTRA BLANC BLUETOOTH DEMO,ND,04 - Audio,Wired Headphone,In-Ear,LG,Universal,Universal,White,LG ELECTRONICS CANADA INC,HBS-800.ACCAWP,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1106,BEATS SOLO 2 WIRELESS HEADPHONES BLK DMO,BEATS SOLO 2 CASQUE SANS FIL NOIR,ND,04 - Audio,BT On-Ear Headphone,Premium,Beats,Universal,Universal,,APPLE CANADA,MHNG2AM/A,6.29018E+11,CAD,$0.00,$0.00
